Morph,Density,Absolute
0.0,-0.6181509590759349,-19.978268852781138
0.0,0.6257095922827673,-21.242310332249165
0.0,0.4061985297411782,-21.31320647306662
1.0,1.2503639363040835,-19.58210485278068
0.0,-0.5756478715416095,-19.507471163955117
1.0,-0.11572878578797917,-20.613939995513263
0.0,-0.036921126716241,-20.73484963694022
1.0,-0.1471941371317415,-20.147919209858884
0.0,-0.5807164537812946,-20.350885742979912
0.0,-0.16228221991523292,-20.158015010179753
0.0,-0.4260919167743692,-20.6541507752974
0.0,-0.6623286387210792,-20.498236718327128
0.0,0.5962191456134082,-19.71223144511629
0.0,0.14252391929108685,-20.82131280094126
1.0,0.5940547237078052,-19.94471280319099
0.0,-0.2465517617075059,-19.201462113241
0.0,-0.7512019088801757,-19.0511822207368
1.0,-0.7286521937110862,-20.189825577568662
0.0,0.9784514323875758,-20.435666460804033
0.0,0.08659663145203489,-19.030980166651847
0.0,-0.46557992127696474,-19.9951050057143
1.0,-1.1409106331440872,-19.222329450502457
0.0,0.8109963354767709,-20.157446933380804
0.0,-0.8146065504885789,-19.997896595916455
0.0,1.2465539739657816,-19.98428853413787
0.0,0.2146832837184117,-21.866828423687203
0.0,-0.9045966359153889,-19.538973774720265
0.0,0.3242251157518859,-21.098925407785757
1.0,-0.25002858039127135,-19.168724492414167
0.0,0.6548395021561222,-19.069998875912106
1.0,-0.4002337694147479,-21.534325602203953
0.0,-0.31379109318596554,-19.7851134099606
0.0,-1.2692008672837705,-20.81893913885804
0.0,-0.05277948755869726,-19.2703710256397
0.0,-0.2866347969542252,-19.192742811788907
0.0,1.255868832951317,-20.39833968260253
0.0,-0.5710677998082223,-20.328658646935402
0.0,-0.7534542377761008,-20.7643089145457
1.0,-0.31389455480451683,-20.94784420429468
1.0,0.12635202545322002,-21.419621742714465
0.0,0.3897631979794531,-19.83356461452998
1.0,0.5339053980411831,-20.733027713170458
0.0,-0.057077190493234446,-19.811275542168605
0.0,1.7700848516917387,-20.499667631529995
0.0,0.12584853238267601,-19.849956181077616
1.0,-0.8576767551397232,-20.27749429612794
1.0,0.41741485441882187,-19.760026122448828
0.0,0.1510517099670164,-19.43408024946306
0.0,0.08367985447762076,-21.020307273450182
0.0,-0.5208971666705497,-20.675046276419575
0.0,0.5682509383384718,-20.654044474869192
1.0,0.8492077550232828,-19.437986342948783
0.0,-0.770338157564824,-20.349007228830864
1.0,-0.014063404369264017,-21.525032847476847
1.0,-0.5186351187794508,-19.022695524066037
0.0,0.5246481262049463,-19.82055284185089
1.0,0.06120777383064082,-20.583670803203795
1.0,0.3021892525533572,-20.549803468438974
1.0,1.4246982989164578,-20.7217769265522
0.0,-0.44524635545160923,-19.037814166964587
0.0,0.03792720950130712,-20.192603493288278
0.0,-0.0736464625148747,-19.984869841503507
0.0,0.040683721722363106,-20.39479942840373
0.0,-0.12462387141753117,-19.896161036730565
0.0,-0.33027945331120945,-21.00725525268457
0.0,0.1244730530288454,-20.68525014516684
0.0,1.0917215961090037,-19.014090241044396
0.0,0.3356755884728316,-19.129720363959194
0.0,0.21694664632079752,-19.16790927355539
0.0,0.0036550603584542874,-20.888740989699233
0.0,-0.03387737638747214,-20.272973932329798
1.0,0.16797092144787812,-20.04252757166659
1.0,0.8880646899625227,-20.380477933994456
0.0,-1.170396547334738,-20.65320673099401
0.0,0.10231164834964344,-19.63183263393804
0.0,0.002604661011919881,-19.462051722776213
1.0,-0.2027591417801838,-19.60257602183096
0.0,-0.8454171627465132,-20.471388367447872
0.0,1.2454324521995703,-20.032083642785274
0.0,-0.5806394202859592,-19.621007659970036
0.0,-0.19582744554229084,-19.906979413898082
0.0,-0.6141427943075469,-20.921715485552042
0.0,-0.35546769162081077,-20.23293640897353
0.0,-0.6164616132000333,-20.471187684204978
1.0,-0.13214507907302814,-19.728015559681907
0.0,-0.8861293586380102,-21.137986246331955
0.0,-0.42656061707072074,-20.261468134667936
0.0,-0.11759319344436808,-21.04960977821771
1.0,-0.9614133072291745,-21.078569290856525
0.0,-0.6088752726490988,-21.38007328851571
1.0,0.3400653628057596,-21.132034150275018
1.0,0.5384911326847858,-19.064794615468823
0.0,-0.13752860101423026,-20.29123163769352
1.0,1.0908106509669437,-20.009853428457774
1.0,0.6408330469901687,-19.307775648469054
1.0,1.0487848861623281,-20.623684418182506
0.0,-0.06923550951946038,-19.99779231793678
0.0,-0.7560181569473685,-20.624490097723353
0.0,0.019995821818872227,-20.39676084229387
1.0,-0.06722999176428689,-19.943841288335182
1.0,-0.313115632565533,-19.271329750178722
