ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
22,0.364,0.5863704787322069,19.04,2.495,0.022,8553,-5
23,0.412,0.53413209292846,19.0,2.308,0.025,9034,-5
24,0.461,0.37814161670082996,19.02,2.217,0.03,9725,-2
25,0.186,0.5455828248153509,19.93,2.185,0.03,4879,-5
26,0.07,0.667726650465601,19.89,2.279,0.035,6088,-2
27,0.065,0.1413429036374839,19.53,1.98,0.035,7854,-5
28,0.066,0.3002087437626351,20.0,2.046,0.035,6870,-5
29,0.065,0.5530469829037851,20.62,2.018,0.035,7530,-2
30,0.063,0.5220978247180813,20.3,2.061,0.035,7126,-2
31,0.065,1.0480822931919636,20.47,2.418,0.035,6868,-5
32,0.064,0.40942849020076116,19.79,2.097,0.035,7910,-5
33,0.062,0.6237746751193712,20.24,2.12,0.035,7023,-2
34,0.059,0.14435004738422758,18.56,2.231,0.035,6458,-2
35,0.057,0.38660871200085795,19.72,2.197,0.035,7217,-2
36,0.593,0.5893139879930972,19.43,2.252,0.032,7552,-2
37,0.491,0.3778791729129823,18.42,2.438,0.032,6849,-2
38,0.47,0.07076656541146654,18.12,2.146,0.023,7439,-5
39,0.468,0.039592912327668435,17.67,2.329,0.032,7334,-5
40,0.43,0.631737845951742,19.64,2.357,0.032,6784,-5
41,0.605,0.7220377970308473,19.53,2.216,0.032,6321,-2
42,0.41,0.4553302314500539,19.67,2.085,0.032,7229,-2
43,0.299,0.274461534504291,19.2,2.134,0.032,6874,-5
44,0.351,0.7905346314920052,20.74,2.172,0.044,4702,-5
45,0.365,0.6946706485327402,19.67,2.384,0.03,5229,-2
46,0.422,0.9016078108565853,19.99,2.34,0.021,5654,-2
47,0.435,0.6171323783858468,19.59,2.342,0.044,4976,-2
48,0.463,0.4060098352767889,20.53,2.081,0.03,3538,-5
49,0.456,0.8132155284170987,20.07,2.267,0.018,6456,-5
50,0.451,0.4247202791627941,19.9,2.192,0.03,4241,-5
51,0.428,0.36730689897565905,18.13,2.535,0.022,4978,-5
52,0.409,0.2601404016847025,18.8,2.319,0.015,5092,-2
53,0.452,0.4111337520884817,19.0,2.317,0.03,6207,-5
54,0.425,0.8915782104583396,20.39,2.418,0.009,3796,-5
55,0.429,0.5274377143370851,18.87,2.321,0.029,5385,-4
56,0.435,0.6322391010865297,19.99,2.34,0.025,4477,-2
57,0.424,-0.022913637713597373,19.0,2.148,0.019,3934,-5
58,0.423,-0.049381943030887554,19.3,1.925,0.03,3957,-5
59,0.436,0.48887438572837305,18.91,2.308,0.032,7458,-5
