ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
20,0.024,0.35315033103309446,19.19,2.261,0.021,7584,-5
21,0.024,0.7498333342088173,19.49,2.433,0.011,7881,-4
22,0.024,0.7587778033742757,19.97,2.445,0.024,7754,-5
23,0.023,0.6357400533622541,20.24,2.264,0.03,6230,-3
24,0.2,0.399635416504572,18.84,2.327,0.011,4846,-5
25,0.028,0.32718685656692637,19.15,2.211,0.021,6367,-5
26,0.289,0.643124417013748,19.82,2.306,0.024,3033,-5
27,0.154,0.2955733804857271,19.23,2.024,0.013,10100,-5
28,0.145,0.781946322569439,19.79,2.325,0.018,10016,-5
29,0.143,0.8302985907785897,19.2,2.496,0.014,10545,-2
30,0.181,0.34544858903729386,18.53,2.414,0.035,14197,-2
31,0.179,0.5767221703232046,19.91,2.055,0.035,13106,-2
32,0.137,0.3614448302601253,19.15,2.148,0.011,10167,-2
33,0.175,0.533175545683691,19.63,2.247,0.035,14058,-2
34,0.143,1.0157348274778568,20.34,2.334,0.035,14979,-5
35,0.143,0.5973867653619287,19.97,2.071,0.035,14967,-2
36,0.142,0.569023836012704,19.98,2.283,0.035,13576,-5
37,0.158,1.1300666534273112,20.24,2.562,0.035,14415,-5
38,0.151,0.8185739516168618,21.23,1.94,0.035,15112,-5
39,0.139,0.5701446075053027,19.14,2.368,0.035,12909,-5
40,0.137,1.0875272994331844,20.83,2.256,0.035,14298,-5
41,0.137,0.3645416657572311,18.71,2.322,0.035,13973,-5
42,0.144,0.9318937763286211,19.85,2.433,0.035,13263,-5
43,0.138,0.4858547772132456,18.8,2.434,0.035,13602,-2
44,0.135,0.3991269546334627,18.5,2.392,0.035,15663,-2
45,0.132,0.5907079197581765,19.69,2.345,0.035,12344,-2
46,0.132,1.0317589113272365,19.95,2.525,0.035,15542,-5
47,0.132,1.8303917432043046,22.23,2.467,0.035,14065,-5
48,0.131,0.49228513553165165,19.27,2.202,0.035,13123,-5
49,0.13,0.41570192767490943,18.73,2.35,0.035,15047,-5
50,0.135,0.6776280381074606,19.28,2.418,0.035,12864,-5
51,0.134,0.6961876992642156,19.86,2.305,0.035,13211,-5
52,0.132,0.8173764296897646,19.55,2.482,0.035,15672,-5
53,0.136,0.8185785432017924,20.64,2.11,0.035,14136,-2
54,0.13,0.8934558353242329,19.9,2.383,0.035,15711,-5
55,0.128,0.6698816057951035,19.22,2.483,0.035,15799,-5
56,0.13,0.5697207045300249,19.55,2.136,0.035,14773,-5
57,0.131,0.8051799759400772,19.66,2.324,0.035,15238,-5
58,0.134,1.1071955357656116,20.36,2.409,0.035,15415,-5
59,0.158,0.9258717812204881,19.5,2.53,0.015,10177,-5
60,0.155,0.5258693199398328,19.88,2.113,0.015,9652,-5
61,0.185,0.5884383563784453,19.18,2.344,0.015,11225,-5
62,0.203,0.77532321260962,19.8,2.287,0.015,12220,-2
63,0.207,0.799021696302394,19.48,2.443,0.015,11318,-5
64,0.161,0.5249838963583336,19.66,2.204,0.021,10586,-2
65,0.142,0.41663554787620377,19.48,2.125,0.021,10799,-5
66,0.16,0.37093103528553334,18.73,2.344,0.016,4557,-5
67,0.169,0.6867292768638162,19.62,2.315,0.018,4310,-2
68,0.142,0.5153685572530827,18.64,2.526,0.021,11275,-2
69,0.137,0.4035227596770907,18.41,2.383,0.021,11595,-5
70,0.153,0.5192630307102317,19.19,2.24,0.021,12303,-3
71,0.127,0.8582907716891554,20.1,2.357,0.021,11723,-5
72,0.144,0.7520743638021464,19.24,2.366,0.015,12213,-5
73,0.148,1.087431251576761,21.37,2.148,0.016,5072,-2
74,0.144,0.5496524826587144,19.0,2.394,0.021,11652,-5
