angDist,_RAJ2000,_DEJ2000,Name,Type,Period,Vmag,E_B-V_,__Fe_H_3,_RA,_DE,recno,id,RA_ICRS,DE_ICRS,rest,b_rest,B_rest,rlen,ResFlag,ModFlag
0.002207,91.64561,26.329224,"AA Gem         ","DCEP    ",11.302,9.72,0.345,-0.22,91.64561,26.32922,1,3430067092837622272,91.64560767219,26.32921990134,4230.167054190490000,3460.219396161620000,5353.342062867990000,1159.892770346060,1,1
0.019843,104.34904,-3.8433406,"AA Mon         ","DCEP    ",3.938,12.74,0.765,-0.15,104.34904,-3.84334,2,3102535635624415872,104.34904128863,-3.84333624589,4013.747624188730000,3439.251926332310000,4794.655823025830000,1260.264673236620,1,1
0.006783,56.534386,58.78422,"AB Cam         ","DCEP    ",5.788,11.86,0.622,-0.03,56.53439,58.78422,3,473239154746762112,56.53438614326,58.78422092011,5149.745707253010000,4252.642952510670000,6434.638997265580000,1314.093692376970,1,1
0.048796,105.24925,-8.708991,"AC Mon         ","DCEP    ",8.014,10.1,0.507,-0.17,105.24925,-8.70899,4,3050050207554658048,105.24924046825,-8.70898327855,3326.865247522650000,2881.923249029050000,3922.865357818470000,1381.023381981210,1,1
0.024016,52.358204,60.446465,"AD Cam         ","DCEP    ",11.261,12.56,0.873,-0.17,52.35821,60.44646,5,462407693902385792,52.35820609009,60.44646683441,4463.300148069750000,3871.277258471560000,5248.293925643410000,1307.660507644580,1,1
0.103874,183.24861,-62.096825,"AD Cru         ","DCEP    ",6.398,11.06,0.64,0.11,183.24863,-62.09683,6,6057514092119497472,183.24856594191,-62.09682357786,3117.762688753940000,2774.868433995990000,3552.739243619420000,1422.527111326570,1,1
0.026836,100.781296,20.939112,"AD Gem         ","DCEP    ",3.788,9.85,0.206,-0.11,100.7813,20.93911,7,3378049163365268608,100.78129646834,20.93910611628,5192.451046672230000,4143.529258351500000,6675.705919988210000,881.391690595687,1,1
0.061906,117.016045,-25.577784,"AD Pup         ","DCEP    ",13.596,9.92,0.363,-0.12,117.01605,-25.57778,8,5614312705966204288,117.01603557056,-25.57777143521,5768.618643784370000,4756.255843670490000,7204.890226481920000,1288.190255543500,1,1
0.034292,83.652725,26.202408,"AE Tau         ","DCEP    ",3.897,11.7,0.568,-0.14,83.65273,26.20241,9,3441145084801214464,83.65272683865,26.20240189222,3442.458457585130000,2951.582038526790000,4109.921997488480000,1140.267333830850,1,1
0.112513,144.21445,-53.032795,"AE Vel         ","DCEP    ",7.134,10.24,0.691,0.11,144.21445,-53.0328,10,5309174967720762496,144.21440653335,-53.03277917183,2927.992385224100000,2698.367069714100000,3198.964413159910000,1398.694644683220,1,1
0.074105,190.35846,-59.794178,"AG Cru         ","DCEP    ",3.837,8.22,0.242,-0.08,190.35846,-59.79418,11,6059635702888301952,190.35841950878,-59.79418623670,1542.965385559380000,1454.674168594670000,1642.420484871720000,1320.999761855210,1,1
