objID,filterID,obsTime,ra,dec,airMass,psfFlux,psfFluxErr,infoFlag2
142623277801099039,3,55783.5337234,327.78021018,28.8569715,1.1076799631118800,1.22730998555198E-05,1.24312998650566E-06,32
142623277801099039,3,55783.5456675,327.78025387,28.85696898,1.1453800201416000,1.06386996776564E-05,1.32672005292989E-06,32
142623277801099039,3,56145.5392544,327.78017615,28.85696819,1.098520040512090,1.60768995556282E-05,1.75431000570825E-06,0
142623277801099039,3,56145.5505247,327.78009476,28.85710528,1.1318800449371300,9.95703976514051E-06,1.64562004556501E-06,32
142623277801099039,3,55407.5622549,327.78015661,28.85698521,1.105299949646000,1.50293999467976E-05,1.50548999044986E-06,0
142623277801099039,3,55407.5753777,327.78014355,28.85695573,1.1465599536895800,1.23556001199177E-05,1.4173100453263E-06,0
142623277801099039,3,55809.2778116,327.78016765,28.85697362,1.25409996509552,1.20350996439811E-05,1.07175003449811E-06,0
142623277801099039,3,55809.2892659,327.78017449,28.85696164,1.1993099451065100,1.26286004160647E-05,1.04284004009969E-06,0
142623277801099039,3,55763.5643675,327.780192,28.85697914,1.0528899431228600,1.65386991284322E-05,2.5495999125269E-06,0
142623277801099039,3,55763.5758841,327.78014706,28.85690224,1.0760200023651100,1.59850005729822E-05,2.45669002651994E-06,0
142623277801099039,3,56545.2964925,327.78010502,28.85698142,1.1178200244903600,1.54764002218144E-05,1.84759005605883E-06,0
142623277801099039,3,56545.3078189,327.78013593,28.85705405,1.0868300199508700,9.33562023419654E-06,1.81030998192E-06,32
142623277801099039,3,55407.5633332,327.78020373,28.8569486,1.1083500385284400,1.21975999718416E-05,1.63635002081719E-06,0
142623277801099039,3,55407.5760505,327.78017369,28.85698127,1.1489200592041000,1.69273007486481E-05,1.62078003995703E-06,0
