# Galaxy      OtherID                RA              DEC      Type       D       e1     Method   A_V     MV_T      e2     M_K      e3        N_GC     e4   Source      sig_e    e5      R_e    e6    M_d     e6      M_G    e8      M_B     el      eu

NGC784          nid               2.0213931   28.8372361  SBdm     5.45    0.50   TRGB          0.162  -16.870   0.200 -18.413   0.123       6.0     2.0   37           -9999      -9999      -9999      -9999      -9999       -9999       6.00    0.12    -9999      -9999      -9999  
NGC821          nid               2.1391988   10.9950077  E6      23.38    1.24   SBF           0.364  -21.530   0.200 -23.984   0.102     320.0    45.0   93         209.00   10.00    5.64    0.30   11.361    0.036    7.97    0.06    8.23    0.16    0.25
NGC891          nid               2.3759783   42.3471230  Sb       8.36    0.56   SBF           0.178  -21.400   0.200 -23.692   0.101      70.0    20.0   83          73.10   10.20    5.43    0.36   10.431    0.082    7.31    0.11    -9999      -9999      -9999  
NGC910         A347-1             2.4241190   41.8243920  E       71.40    5.00   Hubble        0.190  -22.290   0.220 -25.088   0.104    4245.0  1100.0   7          249.20    8.00    9.26    0.65   11.728    0.035    9.14    0.10    -9999      -9999      -9999  
Fornax-dE        nid              2.6664722  -34.4491667  dE       0.14    0.00   TRGB/RRLyr    0.055  -13.000   0.200  999999   99999       5.0     0.0   31          10.40    0.70    0.49    0.07    7.693    0.069    5.80    0.00    -9999      -9999      -9999  
NGC1023          nid              2.6733293   39.0632533  SB0     11.43    1.00   SBF           0.201  -21.140   0.200 -24.074   0.102     490.0    30.0   100a       209.00   10.00    2.19    0.15   10.950    0.040    8.14    0.03    7.64    0.04    0.04
NGC1052          nid              2.6846621   -8.2558045  E4      19.35    1.06   SBF           0.088  -21.050   0.200 -23.992   0.101     400.0    45.0   33         206.90    4.00    3.16    0.17   11.100    0.026    8.04    0.05    0.00    8.53    0.00
NGC1055          nid              2.6958209    0.4431773  Sb      19.00    4.00   TF            0.109  -21.300   0.200 -24.255   0.104     210.0    40.0   100a        80.00   15.00    -9999      -9999      -9999       -9999       7.78    0.08    -9999      -9999      -9999  
NGC1132          nid              2.8810505   -1.2746379  E       96.09    4.80   Hubble        0.209  -22.760   0.200 -25.674   0.105    3613.0   295.0   1b         246.00    8.70   15.68    1.00   11.946    0.036    9.10    0.03    -9999      -9999      -9999  
UGC-2413       A397-1             2.9413222   15.9161389  E      145.20   10.20   Hubble        0.387  -22.450   0.200 -25.753   0.107    3020.0   840.0   7          289.00   11.00    -9999      -9999      -9999       -9999       9.01    0.11    -9999      -9999      -9999  
ESO-154-023        nid            2.9472711  -54.5706416  Sbsm     5.90    0.50   TRGB          0.046  -16.380   0.300   -9999   -9999     3.0     1.0   37           -9999      -9999      1.67    0.20    -9999       -9999       5.68    0.12    -9999      -9999      -9999  
NGC1172          nid              3.0266750  -14.8366111  E       21.48    2.07   SBF           0.211  -20.010   0.280 -22.468   0.105     365.0    25.0   18         112.40    4.40    4.02    0.39   10.674    0.046    7.94    0.03    -9999      -9999      -9999  
NGC1201          nid              3.0688995  -26.0696616  S0      20.23    3.00   SBF           0.053  -20.860   0.360 -23.860   0.102     230.0    80.0   61         166.60    4.20    2.51    0.37   10.812    0.061    7.79    0.13    -9999      -9999      -9999  
NGC1313          nid              3.3043271  -66.4975862  SBcd     4.16    0.08   TRGB          0.299  -19.750   0.240 -20.560   0.115       7.0     4.0   70           -9999      -9999      1.71    0.12    -9999       -9999       6.21    0.20    -9999      -9999      -9999  
NGC1275        PerseusA           3.3300725   41.5115451  Ep      72.90    3.65   Hubble        0.446  -22.690   0.200 -26.236   0.107    7800.0  2500.0   43a/55a    258.90   13.40    5.96    0.60   11.570    0.051    9.43    0.12    -9999      -9999      -9999  
NGC1311          nid              3.3352771  -52.1858237  SBm      5.45    0.50   TRGB          0.058  -15.760   0.200 -17.767   0.145       5.0     2.0   37           -9999      -9999      0.56    0.10    -9999       -9999       5.88    0.15    -9999      -9999      -9999  
NGC1316        FCC-21/ForA        3.3782565  -37.2082112  S0      21.09    0.30   SBF           0.069  -23.160   0.200 -26.041   0.102    1000.0   500.0   38/98      227.70    3.10   10.19    0.14   11.692    0.010    8.57    0.18    8.24    0.17    0.23
ESO-357-G25    FCC-26             3.3936816  -35.7783680  SB0     19.85    1.31   SBF           0.043  -17.400   0.200 -18.750   0.193      22.0     7.0   55           -9999      -9999      0.74    0.05    -9999       -9999       6.59    0.12    -9999      -9999      -9999  
ESO-358-G01    FCC-43             3.4339560  -32.8944454  dS0     19.23    1.42   SBF           0.039  -18.600   0.200 -20.660   0.124      37.0    15.0   55          52.90    4.60    1.81    0.13    9.674    0.058    6.87    0.15    -9999      -9999      -9999  
IC1919         FCC-43             3.4339560  -32.8944454  E/S0    19.23    1.42   SBF           0.039  -18.310   0.200 -20.660   0.124      21.0    10.0   61          52.90    4.60    1.81    0.13    9.674    0.058    6.61    0.17    -9999      -9999      -9999  
NGC1332          nid              3.4381105  -21.3352765  S0      22.91    0.20   SBF           0.108  -21.620   0.200 -24.760   0.102    1000.0   500.0   61         320.90   13.70    2.75    0.02   11.420    0.026    8.47    0.18    9.17    0.06    0.06
NGC1336        FCC-47             3.4422764  -35.7136610  E4      18.74    0.28   SBF           0.037  -19.140   0.200 -21.562   0.114     276.0   100.0   55         101.20    3.90    2.32    0.04   10.344    0.024    7.78    0.13    -9999      -9999      -9999  
ESO-358-G06    FCC-55             3.4550066  -34.5263921  S0      19.18    1.13   SBF           0.027  -18.430   0.200 -20.795   0.114      37.0    15.0   55          45.80    1.20    1.20    0.07    9.369    0.029    6.87    0.15    -9999      -9999      -9999  
NGC1339        FCC-63             3.4684949  -32.2860655  E4      20.38    0.85   SBF           0.044  -20.010   0.200 -22.858   0.102     231.0    80.0   55         161.20    3.20    1.46    0.06   10.549    0.021    7.74    0.13    -9999      -9999      -9999  
NGC1344        NGC1340            3.4721166  -31.0681243  E5      20.03    1.06   SBF           0.059  -21.180   0.200 -24.116   0.104     280.0   100.0   55         166.00    3.90    2.92    0.15   10.874    0.026    7.90    0.13    -9999      -9999      -9999  
NGC1345          nid              3.4921314  -17.7783902  Sc      19.90    1.40   Hubble        0.125  -17.870   0.220 -20.371   0.131      16.0     8.0   22           -9999      -9999      1.77    0.12    -9999       -9999       6.47    0.18    -9999      -9999      -9999  
NGC1351        FCC-83             3.5097147  -34.8540184  E5      31.57    0.08   SBF           0.046  -20.960   0.200 -23.713   0.104     274.0    90.0   55         140.20    3.00    3.70    0.01   10.830    0.013    7.87    0.12    -9999      -9999      -9999  
FCC-90        nid                 3.5189591  -36.2900654  E4      19.45    1.81   SBF           0.033  -17.770   0.200 -19.621   0.156      21.0     7.0   55           -9999      -9999      0.99    0.09    -9999       -9999       6.59    0.12    -9999      -9999      -9999  
FCC-95        nid                 3.5235552  -35.3310775  dSB0    19.73    0.67   SBF           0.041  -17.880   0.200 -20.015   0.152      21.0     7.0   55           -9999      -9999      -9999      -9999      -9999       -9999       6.59    0.12    -9999      -9999      -9999  
FCC-106        nid                3.5465802  -34.2386871  dS0     19.89    0.63   SBF           0.029  -17.490   0.200 -19.478   0.139      15.0     5.0   55           -9999      -9999      -9999      -9999      -9999       -9999       6.43    0.12    -9999      -9999      -9999  
IC1959          nid               3.5535083  -50.4142708  SBsm     6.40    0.30   TRGB          0.030  -16.810   0.200 -17.997   0.113       7.0     3.0   37           -9999      -9999      0.70    0.07    -9999       -9999       6.07    0.15    -9999      -9999      -9999  
FCC-136        nid                3.5748634  -35.5464872  dE2     19.68    1.04   SBF           0.044  -17.870   0.200 -19.675   0.147      25.0     8.0   55         112.40   22.50    2.23    0.12   10.418    0.110    6.67    0.12    -9999      -9999      -9999  
NGC1374        FCC-147            3.5879390  -35.2263303  E       19.64    0.09   SBF           0.046  -20.430   0.200 -23.309   0.102     360.0    19.0   4          186.40    3.90    2.37    0.01   10.883    0.013    7.96    0.02    -9999      -9999      -9999  
NGC1375        FCC-148            3.5880059  -35.2656207  S0      20.02    0.98   SBF           0.048  -19.160   0.200 -21.905   0.105      86.0    30.0   55/61       66.10    1.70    1.65    0.08    9.826    0.026    7.27    0.13    -9999      -9999      -9999  
FCC-150        nid                3.5900282  -36.3638852  dE4     18.30    2.00   SBF           0.038  -16.470   0.200 -18.283   0.175       9.9     5.3   67          63.00    3.00    -9999      -9999      -9999       -9999       6.20    0.19    -9999      -9999      -9999  
ESO-358-G26    FCC-153            3.5919271  -34.4470832  S0      20.78    0.69   SBF           0.039  -19.550   0.200 -22.438   0.103      60.0    20.0   55          64.40    4.40    1.25    0.04    9.684    0.042    7.13    0.12    -9999      -9999      -9999  
ESO-358-G25    FCC-152            3.5925335  -32.4649084  S0-a    18.00    0.45   SBF           0.028  -18.490   0.200 -20.684   0.120      16.0     5.0   55          56.90    2.80    1.43    0.04    9.634    0.031    6.51    0.12    -9999      -9999      -9999  
NGC1379          nid              3.6010630  -35.4411586  E       20.04    1.43   SBF           0.040  -20.640   0.200 -23.276   0.103     225.0    23.0   4          120.10    2.30    2.78    0.20   10.572    0.032    7.77    0.04    -9999      -9999      -9999  
NGC1380        FCC-167            3.6076629  -34.9761257  S0-a    18.86    1.85   SBF           0.058  -21.510   0.240 -24.515   0.102     424.0   100.0   55/58      218.50    4.80    3.39    0.33   11.178    0.042    8.10    0.09    -9999      -9999      -9999  
NGC1381        FCC-170            3.6088084  -35.2952129  S0      18.78    1.76   SBF           0.045  -19.910   0.230 -22.950   0.101      71.0    25.0   55         151.20    2.50    1.13    0.11   10.380    0.042    7.23    0.13    -9999      -9999      -9999  
NGC1380A       FCC-177            3.6131885  -34.7396157  S0      16.89    1.81   SBF           0.049  -18.780   0.270 -21.569   0.106      70.0    25.0   55          54.40    3.70    1.46    0.16    9.605    0.059    7.16    0.13    -9999      -9999      -9999  
FCC-182        nid                3.6150796  -35.3746381  SB0     19.57    0.79   SBF           0.036  -17.570   0.200 -19.855   0.125      59.0    20.0   55          61.60    3.20    1.24    0.05    9.642    0.035    7.03    0.13    -9999      -9999      -9999  
NGC1387        FCC-184            3.6158538  -35.5066275  E/S0    19.82    0.70   SBF           0.042  -20.840   0.200 -24.065   0.102     390.0    27.0   4          170.20   11.80    2.20    0.08   10.774    0.043    8.02    0.03    -9999      -9999      -9999  
NGC1380B       FCC-190            3.6191619  -35.1951049  SB0     22.02    1.14   SBF           0.057  -18.850   0.200 -21.676   0.109     156.0    50.0   55          78.10    2.90    1.63    0.08    9.966    0.031    7.51    0.12    -9999      -9999      -9999  
NGC1389        FCC-193            3.6199172  -35.7460236  SB0     20.87    1.53   SBF           0.035  -20.130   0.210 -22.969   0.102      48.0    16.0   55/61      135.10    6.20    1.52    0.11   10.411    0.040    7.07    0.12    -9999      -9999      -9999  
ESO-358-G42    FCC-203            3.6358844  -34.5185751  dE6     20.69    0.80   SBF           0.032  -16.930   0.200 -18.587   0.231      30.0    10.0   55           -9999      -9999      1.69    0.06    -9999       -9999       6.70    0.12    -9999      -9999      -9999  
ESO-358-G43    FCC-204            3.6371175  -33.1272534  dS0     21.08    0.74   SBF           0.029  -17.360   0.200 -19.778   0.151      17.0     6.0   55          67.00    4.00    1.26    0.04    9.722    0.038    6.48    0.13    -9999      -9999      -9999  
NGC1399        FCC-213            3.6414080  -35.4506257  E1      20.68    0.50   SBF           0.043  -22.030   0.200 -25.276   0.104    6000.0   700.0   3/93       337.00   16.00    9.70    0.23   12.011    0.030    9.28    0.05    8.69    0.06    0.07
NGC1404        FCC-219            3.6477546  -35.5942446  E1      20.43    0.40   SBF           0.038  -21.590   0.200 -24.735   0.102     770.0   140.0   29/41/87   234.40    4.20    2.78    0.05   11.153    0.014    8.36    0.07    -9999      -9999      -9999  
NGC1400          nid              3.6585692  -18.6881481  S0      26.42    4.34   SBF           0.214  -21.360   0.200 -24.322   0.102    2960.0   958.0   79         251.50    4.40    3.47    0.57   11.310    0.067    8.93    0.12    -9999      -9999      -9999  
NGC1427A          nid             3.6692548  -35.6245057  Ibsm    16.00    2.00   TRGB          0.033  -18.500   0.200 -17.151   0.279      38.0    15.0   37           -9999      -9999      2.81    0.30    -9999       -9999       6.88    0.14    -9999      -9999      -9999  
NGC1407          nid              3.6699637  -18.5803554  E0      28.84    3.67   SBF           0.228  -22.860   0.350 -25.623   0.103    7000.0  2000.0   94         270.60    6.10   10.38    1.32   11.850    0.054    9.40    0.11    -9999      -9999      -9999  
NGC1419        FCC-249            3.6783714  -37.5108809  E0      20.15    1.84   SBF           0.043  -18.970   0.220 -21.640   0.103     155.0    50.0   55         120.80    2.80    0.85    0.08   10.062    0.040    7.52    0.12    -9999      -9999      -9999  
ESO-358-G50    FCC-255            3.6843403  -33.7794603  S0      19.97    0.63   SBF           0.016  -18.590   0.200 -21.071   0.112      80.0    25.0   55          48.20    7.90    1.25    0.04    9.430    0.091    7.21    0.12    -9999      -9999      -9999  
NGC1427        FCC-276            3.7053874  -35.3927754  E       20.52    2.00   SBF           0.037  -20.740   0.240 -23.426   0.102     500.0    60.0   34/60      162.10    3.50    2.98    0.30   10.862    0.043    8.12    0.05    -9999      -9999      -9999  
NGC1428        FCC-277            3.7063777  -35.1533815  E5      20.69    0.76   SBF           0.028  -18.700   0.200  999999   99999      42.0    13.0   55          81.70   10.50    0.91    0.03    9.751    0.074    6.93    0.12    -9999      -9999      -9999  
NGC1426          nid              3.7136417  -22.1083611  E       24.10    2.08   SBF           0.055  -20.580   0.240 -23.245   0.102     240.0    20.0   18         150.50    2.20    3.00    0.26   10.801    0.037    7.79    0.03    -9999      -9999      -9999  
ESO-358-G56    FCC-288            3.7229538  -33.9400199  dS0     21.68    0.80   SBF           0.016  -16.960   0.200 -18.967   0.177      17.0     6.0   55          48.00    3.00    0.95    0.04    9.307    0.040    6.46    0.13    -9999      -9999      -9999  
NGC1439          nid              3.7472206  -21.9207205  E1      26.67    1.91   SBF           0.099  -20.840   0.200 -23.570   0.104     260.0    30.0   18/60      150.20    5.40    4.46    0.32   10.972    0.037    7.84    0.05    -9999      -9999      -9999  
ESO-358-G59    FCC-301            3.7509996  -35.9726965  E4      20.89    2.02   SBF           0.025  -18.490   0.200 -21.001   0.108      21.0     7.0   55          46.70    1.60    0.95    0.03    9.284    0.024    6.62    0.12    -9999      -9999      -9999  
FCC-303        nid                3.7539203  -36.9367901  dE1     19.69    0.70   SBF           0.029  -17.360   0.200 -17.432   0.261      22.0     7.0   55          27.00   11.00    -9999      -9999      -9999       -9999       6.59    0.12    -9999      -9999      -9999  
NGC1460        FCC-310            3.7704769  -36.6963961  SB0     19.94    0.61   SBF           0.030  -18.900   0.200 -21.542   0.109      39.0    12.0   55          60.40    7.20    1.92    0.06    9.815    0.069    6.91    0.12    -9999      -9999      -9999  
ESO-358-G66    FCC-324            3.7979611  -36.4716667  dS0     20.08    0.72   SBF           0.026  -17.220   0.200 -18.314   0.239      21.0     7.0   55           -9999      -9999      1.82    0.06    -9999       -9999       6.56    0.12    -9999      -9999      -9999  
ESO-359-G02    FCC-335            3.8435348  -35.9093678  E       19.43    0.62   SBF           0.040  -18.180   0.200 -20.176   0.128      14.0     5.0   55          53.50    2.60    1.59    0.05    9.626    0.032    6.43    0.13    -9999      -9999      -9999  
NGC1483          nid              3.8798889  -47.4775000  SBbc    15.70    1.10   Hubble        0.023  -18.320   0.200 -20.397   0.124       5.0     4.0   22           -9999      -9999      1.66    0.12    -9999       -9999       5.99    0.26    -9999      -9999      -9999  
IC2006         ESO-359-G07        3.9079102  -35.9672037  E       20.24    0.76   SBF           0.030  -20.270   0.200 -23.052   0.102     132.0    40.0   55         123.70    2.30    2.38    0.09   10.531    0.020    7.52    0.11    -9999      -9999      -9999  
UGCA-86        nid                3.9973611   67.1436111  Im       2.96    0.30   TRGB          2.583  -16.130   0.200 -14.510   0.205      11.0     4.0   37           -9999      -9999      -9999      -9999      -9999       -9999       6.24    0.13    -9999      -9999      -9999  
IC2035          nid               4.1505312  -45.5176012  E/S0    20.80    1.50   Hubble        0.037  -19.710   0.200 -22.724   0.101      55.0    10.0   18         106.70    2.30    0.65    0.05    9.838    0.035    7.10    0.07    -9999      -9999      -9999  
NGC1533          nid              4.1644027  -56.1184631  E/S0    21.38    4.09   SBF           0.051  -20.980   0.540 -24.031   0.102     250.0    30.0   21         185.40    4.90    3.15    0.60   11.003    0.077    7.83    0.05    -9999      -9999      -9999  
NGC1549          nid              4.2625382  -55.5922874  E       19.68    1.70   SBF           0.042  -21.720   0.270 -24.691   0.103     140.0    60.0   10         202.30    4.00    4.76    0.41   11.258    0.038    7.63    0.15    -9999      -9999      -9999  
NGC1553          nid              4.2695796  -55.7800240  S0      18.54    1.51   SBF           0.044  -21.980   0.260 -25.064   0.102     540.0   160.0   10         177.20    4.30    5.15    0.42   11.177    0.037    8.23    0.11    -9999      -9999      -9999  
NGC1581          nid              4.4124889  -54.9420000  E/S0    22.80    1.60   Hubble        0.024  -18.960   0.300 -21.944   0.107       4.0     4.0   61           -9999      -9999      1.15    0.08    -9999       -9999       5.93    0.30    -9999      -9999      -9999  
NGC1600          nid              4.5277361   -5.0860833  E3      66.00    4.60   Hubble        0.147  -23.330   0.200 -26.073   0.102    2850.0   500.0   88         334.30    7.20   14.53    1.01   12.179    0.032    9.04    0.07    -9999      -9999      -9999  
ESO-118-034        nid            4.6715111  -58.7441889  S0      16.60    1.20   Hubble        0.043  -17.450   0.200 -20.517   0.115       3.0     2.0   61           -9999      -9999      0.50    0.04    -9999       -9999       5.73    0.22    -9999      -9999      -9999  
NGC1700          nid              4.9489833   -4.8659744  E4      44.26    3.38   SBF           0.142  -22.140   0.200 -25.157   0.102    1320.0   270.0   12         238.50    4.20    3.97    0.30   11.322    0.033    8.63    0.08    -9999      -9999      -9999  
UGC-3274       A539-2             5.2769200    6.4417000  MG     115.70    8.10   Hubble        0.459  -21.100   0.200 -25.549   0.127    6870.0  1970.0   7          195.20   10.70    -9999      -9999      -9999       -9999       9.28    0.11    -9999      -9999      -9999  
CGCG421-019    A539-1             5.2819853    6.5524695  E      138.40    9.70   Hubble        0.522  -22.300   0.200 -25.687   0.105    6850.0  2100.0   7          311.60   17.60    -9999      -9999      -9999       -9999       9.35    0.12    -9999      -9999      -9999  
ESO-306-017    PGC017570          5.6685313  -40.8362699  E3/cD  154.26    7.71   Hubble        0.108  -23.700   0.200 -26.430   0.119   11577.0  1046.0   1a         269.90   13.10   37.39    6.00   12.404    0.045    9.67    0.04    -9999      -9999      -9999  
NGC2082          nid              5.6975333  -64.3010833  SBb     17.80    1.30   Hubble        0.192  -19.380   0.210 -21.912   0.112      27.0    17.0   22           -9999      -9999      2.23    0.16    -9999       -9999       6.78    0.21    -9999      -9999      -9999  
NGC2329        A569-1             7.1522255   48.6156184  E/S0    84.00    5.90   Hubble        0.236  -22.410   0.290 -25.246   0.104    2120.0   780.0   7          239.90    4.70    8.58    0.50   11.662    0.027    8.85    0.14    0.00    8.36    0.00
NGC2434          nid              7.5808894  -69.2842123  E0      21.58    3.08   SBF           0.821  -21.230   0.350 -23.873   0.103     143.0    40.0   36         186.90    6.80    2.89    0.41   10.972    0.061    7.61    0.11    -9999      -9999      -9999  
UGC-4289       A634-1             8.2624655   58.3208441  E      117.90    8.30   Hubble        0.161  -22.460   0.260 -25.540   0.106    2690.0   740.0   7          245.20    7.30   10.33    0.73   11.762    0.034    8.96    0.11    -9999      -9999      -9999  
KK-197         PGC-46680          8.6325556  -57.9738889  Im       3.87    0.40   TRGB          0.466  -13.040   0.200 -16.482   0.123       3.0     2.0   37           -9999      -9999      -9999      -9999      -9999       -9999       5.58    0.22    -9999      -9999      -9999  
NGC2683          nid              8.8781100   33.4211000  Sb       7.73    1.39   SBF           0.109  -19.800   0.460 -23.125   0.101     120.0    40.0   82         117.50    9.00    2.09    0.38   10.429    0.083    7.45    0.12    -9999      -9999      -9999  
NGC2758          nid              9.0920136  -19.0427700  SBbc    32.40    2.30   Hubble        0.346  -20.570   0.200 -21.147   0.143      99.0    32.0   22           -9999      -9999      2.66    0.19    -9999       -9999       7.41    0.12    -9999      -9999      -9999  
A754-1         PGC25714           9.1423333   -9.6300000  E      239.30   16.80   Hubble        0.172  -24.190   0.200 -26.531   0.113   16400.0  4800.0   6          346.00    9.80   33.24    2.33   12.569    0.034    9.85    0.11    -9999      -9999      -9999  
A754-2         PGC25721           9.1441444   -9.6252500  S      240.00   16.00   Hubble        0.170  -22.100   0.200 -24.611   0.135    4600.0   800.0   6            -9999      -9999      -9999      -9999      -9999       -9999       9.17    0.07    -9999      -9999      -9999  
NGC2768          nid              9.1937446   60.0372538  E       22.39    2.62   SBF           0.147  -22.030   0.360 -24.769   0.105     720.0   240.0   61         181.10    3.70    6.80    0.80   11.317    0.050    8.36    0.12    -9999      -9999      -9999  
NGC2778          nid              9.2067750   35.0274167  E       22.91    3.39   SBF           0.069  -19.450   0.360 -22.294   0.104      50.0    30.0   36         175.00    8.00    1.75    0.26   10.698    0.065    7.05    0.20    7.15    0.30    0.30
NGC2832        A779-1             9.3296571   33.7495665  E2     102.80    7.20   Hubble        0.060  -23.250   0.200 -26.368   0.103    4400.0  1000.0   7/53       334.00    7.40   12.73    0.89   12.121    0.032    9.22    0.09    0.00    9.95    0.00
NGC2865          nid              9.3917154  -23.1616091  E3      37.84    3.65   SBF           0.270  -21.500   0.260 -24.461   0.102     712.0   108.0   92         171.60    3.50    2.63    0.25   10.858    0.042    8.32    0.06    -9999      -9999      -9999  
ESO-498-005        nid            9.4113051  -25.0926736  SABd    32.00    3.00   TF            0.108  -19.700   0.200 -22.322   0.116      58.0    12.0   22           -9999      -9999      3.77    0.30    -9999       -9999       7.13    0.08    -9999      -9999      -9999  
NGC2902          nid              9.5146999  -14.7358814  S0      33.30    2.40   Hubble        0.217  -20.620   0.310 -23.531   0.104      35.0    20.0   61           -9999      -9999      2.48    0.18    -9999       -9999       6.96    0.20    -9999      -9999      -9999  
